iteration,chain,parameters[1],parameters[81],parameters[161],parameters[241],parameters[321]
6361,1,0.9757906333761515,1.5328910444726884,-2.528949697010637,0.05345657001046917,-0.2989218061317022
6362,1,0.8630517586288612,1.4538016848369808,-2.475625740542137,0.14000794970754707,-0.28561455983705364
6363,1,1.1500059384882417,1.2689988448672684,-2.7250160351022403,-0.0017250801794563137,-0.2773268938296999
6364,1,0.8754593573842403,1.303815033678473,-2.7394623405832146,0.018349594908425425,-0.25745040217430787
6365,1,0.9094858286173728,1.4346744024495408,-2.647978478551276,0.46820745208368514,-0.24987845815563267
6366,1,0.6216117927153298,1.625058766897685,-2.6139076878187666,0.5493495468183509,-0.2822922669833576
6367,1,0.7964849380673708,1.833930047632626,-2.7374478525024277,0.00012281598575508983,-0.2879373332417388
6368,1,0.6817737316833412,2.0043986446288073,-2.669688681361125,0.12180394416592703,-0.26420252909988956
6369,1,0.5330745441980159,1.8401260261180563,-3.0224122603662593,0.08498396459238426,-0.2301925361148441
6370,1,0.5893314426710116,1.987558310343619,-2.9577107873288497,0.07976741530157558,-0.19754111901211488
6371,1,0.613781516846779,1.9170811879401424,-2.921525057269456,0.03461785237662315,-0.19023560841642936
6372,1,0.40043774094397094,1.9619795804962108,-3.0540641729824203,-0.10612488413642533,-0.21565410129971413
6373,1,0.5847842188309453,1.8924597680279058,-2.996685819544195,-0.1856079318863643,-0.22716104053970185
6374,1,0.532950809013188,1.577031196504881,-3.2990733660023817,-0.07627636856337969,-0.2935011451377756
6375,1,0.6031452246846665,1.7560609144169261,-3.382516274849854,0.18064995452004287,-0.265974110949914
6376,1,0.5749111232803048,1.9545663272413836,-3.3790505519717526,0.352435574223391,-0.173339132425418
6377,1,0.5487753452990265,1.9575245857907406,-3.2308288317934744,0.3748102164230918,-0.1908705491600815
6378,1,0.6956366325440411,2.2248671006452527,-3.5260866728601785,0.3653560478519405,-0.22964981938342113
6379,1,0.3799050851695722,2.0586387791445238,-3.5814662816977343,0.3160685953948497,-0.24018394282995678
6380,1,0.25543105112265185,1.831317740682733,-3.8346533673906813,0.16297587674975364,-0.30729190300647063
6381,1,0.6963091560293284,1.7900570091911228,-3.771690499646493,0.549634097702423,-0.3254606792879771
6382,1,0.6527851165045936,1.634166464484111,-3.5792604964012305,0.36589365081949105,-0.3308232232741468
6383,1,0.7752723120859359,1.5658747169536562,-3.5936037941373433,0.2081517225954287,-0.32063615247437455
6384,1,0.19055155491478595,0.8746849461251902,-3.3962368887380845,0.7220585664710961,-0.36456149117532455
6385,1,0.04395758551497238,0.7911257082778046,-3.5040267386382538,0.4967231291793176,-0.37015825995446655
6386,1,-0.09903242951908718,0.7092811063537867,-3.5013090855024336,0.6175271663633044,-0.3737247938200936
6387,1,0.01765945787412449,0.7554290862954787,-3.580032710985485,0.78401492868667,-0.3836603838680779
6388,1,-0.24943077318531698,0.5434227901305955,-3.4269814323356997,0.9536417148754641,-0.3888220614114458
6389,1,-0.3543682629068442,0.6998655364033501,-3.3725749177131124,0.8051365450734675,-0.3741247876328296
6390,1,-0.5695717897332255,0.5762980397835574,-3.2871183464634264,1.090206490617451,-0.4110519778622999
6391,1,-0.2755200592553219,0.8248044169329569,-3.398406704510207,0.6183445324388341,-0.36735031811891916
6392,1,-0.282140192883048,0.9118719839983729,-3.3664648458680166,0.6302324495321249,-0.35700458958380904
6393,1,-0.6048672791540368,1.1249770393456549,-3.2416899581067797,0.46075386099806664,-0.41499385040635484
6394,1,-0.3983539758027884,0.9859995296041876,-3.2721087521214387,0.543302092121506,-0.4077263458671155
6395,1,-0.6231198113321482,0.6364803327373523,-3.134583096208397,0.006306877522770627,-0.4542999777314234
6396,1,-0.8671343255949733,0.5536231550248493,-3.216725446215043,-0.34219009526661087,-0.4747671126964093
6397,1,-0.8451751441383017,0.5243963313405247,-3.205704937651795,-0.36387813450629924,-0.46749148558355885
6398,1,-0.8505445152888198,0.45761068734780885,-3.25633193456956,-0.3305727394746115,-0.46875163553141036
6399,1,-0.7971279295727293,0.4136879146458863,-3.24441998483137,-0.3226431514191782,-0.4728091262052374
6400,1,-0.6991228954528651,0.5437331266145132,-3.3019630443822003,-0.3913970283929578,-0.48357687457030135
6401,1,-0.7006880433384242,0.09190325151397692,-3.3452136561304298,-0.6331950232978346,-0.4691433563687796
6402,1,-0.6235945322800207,0.18885681227311465,-3.3623810545479347,-0.4144870819884939,-0.47831801309849586
6403,1,-0.8058127605222131,0.06404794432471662,-3.369998218636942,-0.45645549975309446,-0.5137257977159706
6404,1,-0.6534978337041593,0.3157691076830559,-3.4375265638914905,-0.272217086678038,-0.5423309839967796
6405,1,-0.9103610192804421,0.40568342856317463,-3.3769481502370677,-0.41633677759009824,-0.5742253284911913
6406,1,-1.0710078090124489,0.43591703238595503,-3.497330939798078,-0.7821693472284356,-0.5267215390378505
6407,1,-1.1721975701589875,0.3447311197479517,-3.6156567270080155,-0.581681519348665,-0.5082214152268967
6408,1,-1.1453600341071901,0.34519427178063966,-3.588358669784772,-0.6643994638532794,-0.48726065656407996
6409,1,-1.2482291046128207,0.2884104317681029,-3.42573347725121,-0.9278680221436758,-0.46892066209580074
6410,1,-1.19167127223786,0.6034993568607407,-3.7370652584270885,-0.5848136944414113,-0.45748454209694783
6411,1,-1.1175929837111518,0.5428809230445909,-3.7881058590007948,-0.6700260619732864,-0.4545282498203652
6412,1,-1.0824461524771536,0.24205640064059866,-3.768672904360251,-0.8775399059874894,-0.4705200684124314
6413,1,-1.0952741497394443,0.2764590120352928,-3.624637347489486,-0.6882273822226235,-0.4513986081351287
6414,1,-0.8372560169476717,0.3855404686120692,-3.3995059026763386,-1.02547520284242,-0.47833634292002053
6415,1,-0.9249000070583805,0.5698582011587422,-3.3485866422002823,-1.166122764619297,-0.46925966540406716
6416,1,-1.171821464129553,0.4976399421270497,-3.199929102246997,-1.4343899374874334,-0.4918265273909269
6417,1,-0.9111529685745132,0.6280683857993689,-3.2642322034397067,-1.032425950848614,-0.44016283199507744
